department_id,department_name,director_name
11,"ECONOMIC GROWTH - Property Transactions","ECONOMIC GROWTH "
12,"Office of the City Manager - Legal Services","OFFICE OF THE CITY MANAGER "
13,"Corporate Services - Information Systems & Technology","CORPORATE SERVICES "
14,"CORPORATE SERVICES - Human Resources ","CORPORATE SERVICES "
15,"Human Settlements - Informal Settlements","HUMAN SETTLEMENTS "
16,"Water & Sanitation - Distribution Services","WATER & SANITATION "
17,"Energy - Electricity Generation & Distribution","ENERGY "
18,"FINANCE - Supply Chain Management","FINANCE "
19,"CORPORATE SERVICES - Fleet Management","CORPORATE SERVICES "
21,"HUMAN SETTLEMENTS - Housing Development","HUMAN SETTLEMENTS "
22,"ENERGY - Electricity Generation & Distribution ","ENERGY "
23,"COMMUNITY SERVICES & HEALTH - City Health","COMMUNITY SERVICES & HEALTH "
24,"SAFETY & SECURITY - Metropolitan Police Services","SAFETY & SECURITY "
25,"OFFICE OF THE CITY MANAGER - Internal Audit","OFFICE OF THE CITY MANAGER "
26,"URBAN MOBILITY - Transport Planning & Network Management ","URBAN MOBILITY "
27,"Spatial Planning & Environment - MURP","SPATIAL PLANNING & ENVIRONMENT "
