vendor_id,vendor_name
1,"Unspecified / Panel"
2,"Mamatela Attorneys Incorporated
Timothy and Timothy Inc Ua Timothy and Timothy Attorneys
Herold Gie & Broadhead Incorporated Ua Herold Gie Attorneys
Diale Mogashoa Inc
Von Lieres Cooper & Barlow
Salijee Govender van der Merwe Attorney Inc.
Riley Incorporated
CK Attorneys
Cluver Markotter Inc.
Cullinan and Associates Incorporated"
3,"Madge Computers (Pty) Ltd t/a Madge Computers"
4,"Work Skills Resources CC
llearn Corporate Services (Pty) Ltd t/a iLeam"
5,"SP Practice Consulting Services (Pty) Ltd t/a SPPRACSpecialised 
Project"
6,"Nejeni Construction and Project Management (Pty) Ltd"
7,"Quintica SA (Pty) Ltd 
Columbus Technologies (Pty) Ltd"
8,"Zutari (Pty) Ltd"
9,"Asla Construction (Pty) Ltd."
10,"Priscilla Berenice Southgate t/a P.B Creations, Premesh Sastri Narismulu t/a Rainmaker Trading, Mosuli Consultants (Pty) Ltd. t/a Sakhelene (Pty) Ltd., Memotek Trading CC, KTP Procurement & Logistics CC t/a KTP Procurement & Safety Supplies (Main), lntergrum Global Solutions (Pty) Ltd., African Compass Trading 288 CC t/a Innovative Networking, and Uhambo Procurement and Distribution (Main Offer)"
11,"Donford (Pty) Ltd. t/a BMW Motorrad Stellenbosch"
12,"Kwapele Basadi-Cleanit CC, Tridentchem (Pty) Ltd. and SSG Cleaning (Pty) Ltd."
13,"Bellmo Trans (Pty) Ltd. t/a Protea Toyota, Rapitrade 248 (Pty) Ltd., Isuzu Truck Centre (Pty) Ltd."
14,"Southern Africa Fault Location (Pty) Ltd."
15,"Pad Panelbeaters CC t/a PAD Autobody and Ramcom Cape (Pty) Ltd."
16,"Bioworld Medical SA (Pty) Ltd. t/a Bioworld SA"
17,"Shotspotter (Pty) Ltd."
18,"IDI Technology Solutions (Pty) Ltd."
19,"SP Practice Consulting Services (Pty) Ltd. t/a SPPRAC  Specialised Project"
20,"Knight Piesold (Pty) Ltd. (Region East), Ensync Engineers (Pty) Ltd. previously PHB Engineers (Pty) Ltd. (Region South), MPAMOT Africa (Pty) Ltd./ EAS Infrastructure Engineers (Pty) Ltd. JV (Region North), OWS Civils (Pty) Ltd. (Region Central) as Main Contractors and Siroccon International (Pty) Ltd. (Region East), SMEC South Africa (Pty) Ltd. (Region South) and Ralema Consulting Engineers (Pty) Ltd. (Region North) as Standby Contractors."
21,"1 - Ruwacon (Pty) Ltd. as Winner for Region 1
2 - Furipoint (Pty) Ltd. as Winner for Region 2
3 - Haw and Inglis Civil and Building (Pty) Ltd. as Standby for both Regions 1 and 2"
