fact_id,tender_id,tts_reference,description,decision_date,award_value,budget_value,s33_award,decision_code,award_reason,department_id,status_id,year_id,vendor_id,loaded_at,award_type_id
1,3387,318S/2024/25,"PANEL OF LEGAL SERVICE PROVIDERS FOR CONVEYANCING SERVICES ON AN AS-AND-WHEN REQUIRED BASIS",2026-01-19,NULL,NULL,0,Approved,Cancellation,11,1,1,1,"2026-05-13 19:58:37",6
2,3388,041C/2024/25,"PANEL OF LEGAL SERVICE PROVIDERS FOR LEGAL SUPPORT, OPINIONS AND MISCELLANEOUS LEGAL SERVICES AS AND WHEN REQUIRED",2026-01-19,NULL,NULL,0,Approved,"Preferred Bidder",12,2,1,2,"2026-05-13 19:58:37",2
3,3389,140G/2023/24,"Appointment of a panel of IT contractors for computer hardware peripherals for the City of Cape town",2026-01-19,NULL,NULL,0,Approved,"Award: Highest Adjudication Points",13,3,1,3,"2026-05-13 19:58:37",1
4,3390,140G/2023/24,"Appointment of a panel of IT contractors for computer hardware peripherals for the City of Cape Town",2026-01-19,NULL,NULL,0,Approved,"Award: Highest Adjudication Points",13,3,1,3,"2026-05-13 19:58:37",1
5,3391,218S/2024/25,"APPOINTMENT OF AN ACCREDITED SERVICE PROVIDER TO PROVIDE IN-HOUSE COMPETENCE (NON-ACCREDITED) AND ACCREDITED (CREDIT BEARING) ADMINISTRATION AND GENERIC SKILLS TRAINING FOR THE CITY OF CAPE TOWN EMPLOYEES.",2026-01-19,NULL,NULL,0,Approved,"Award: Highest Adjudication Points",14,4,1,4,"2026-05-13 19:58:37",1
6,3392,242S/2023/24,"Appointment of a Panel of Service Providers for the Provision of SAP Services to the City of Cape Town. Project: Integration and Enhancement of PPM",2026-01-19,NULL,970071.00,0,Approved,"Award: Highest Adjudication Points",13,3,1,5,"2026-05-13 19:58:37",1
7,3393,107Q/2018/19,"TENDER FOR CIVIL ENGINEERING WORKS WITHIN THE CITY OF CAPE TOWN.",2026-01-19,NULL,NULL,0,Approved,Expansion,15,3,1,6,"2026-05-13 19:58:37",5
8,3394,324S/2024/25,"SUPPLY, INSTALL AND MAINTAIN AN INFORMATION TECHNOLOGY SERVICE MANAGEMENT (ITSM) SOLUTION",2026-01-19,NULL,NULL,0,Approved,"Preferred Bidder",13,5,1,7,"2026-05-13 19:58:37",2
9,3395,068C/2019/20,"AMENDMENT OF CONTRACT NO. 68C/2019/20: PROVISION OF PROFESSIONAL SERVICES FOR THE DETAILED DESIGN AND CONSTRUCTION MONITORING OF THE GORDONS BAY SEWER PUMP STATION AND RISING MAIN",2026-01-19,NULL,12135544.87,0,Approved,Amendment,16,3,1,8,"2026-05-13 19:58:37",4
10,3396,271Q/2022/23,"AMENDMENT OF CONTRACT NO. 271 Q/2022/23: CONSTRUCTION OF GORDON'S BAY SEWAGE PUMP STATION AND RISING MAIN",2026-01-19,NULL,16557459.55,0,Approved,Amendment,16,3,1,9,"2026-05-13 19:58:37",4
11,3397,295G//2024/25,"EXTENSION OF THE SUPPLY AND DELIVERY OF ELECTRICITY METERS",2026-01-26,NULL,NULL,0,Approved,Cancellation,17,1,1,1,"2026-05-13 19:58:37",6
12,3398,048G/2025/26,"SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (CLOTHING) AND ACCESSORIES TO THE CITY OF CAPE TOWN ON AN ADHOC BASIS",2026-01-26,NULL,NULL,0,Approved,"Preferred Bidder",18,5,1,10,"2026-05-13 19:58:37",2
13,3399,059G/2025/26,"SUPPLY AND DELIVERY OF VARIOUS MOTORCYCLES AND ALL-TERRAIN VEHICLES TO THE CITY OF CAPE TOWN ON AN AD-HOC BASIS",2026-01-26,NULL,NULL,0,Approved,"Award: Highest Adjudication Points",19,4,1,11,"2026-05-13 19:58:37",1
