tender_id,tts_reference,description,vendor,department_name,director_name,status,financial_year,decision_date,award_value,budget_value,s33_award,decision_code,award_reason
3387,318S/2024/25,"PANEL OF LEGAL SERVICE PROVIDERS FOR CONVEYANCING SERVICES ON AN AS-AND-WHEN REQUIRED BASIS","Unspecified / Panel","ECONOMIC GROWTH - Property Transactions","ECONOMIC GROWTH ",Cancelled,2025-2026,2026-01-19,NULL,NULL,0,Approved,Cancellation
3388,041C/2024/25,"PANEL OF LEGAL SERVICE PROVIDERS FOR LEGAL SUPPORT, OPINIONS AND MISCELLANEOUS LEGAL SERVICES AS AND WHEN REQUIRED","Mamatela Attorneys Incorporated
Timothy and Timothy Inc Ua Timothy and Timothy Attorneys
Herold Gie & Broadhead Incorporated Ua Herold Gie Attorneys
Diale Mogashoa Inc
Von Lieres Cooper & Barlow
Salijee Govender van der Merwe Attorney Inc.
Riley Incorporated
CK Attorneys
Cluver Markotter Inc.
Cullinan and Associates Incorporated","Office of the City Manager - Legal Services","OFFICE OF THE CITY MANAGER ","Preferred Bidder",2025-2026,2026-01-19,NULL,NULL,0,Approved,"Preferred Bidder"
3389,140G/2023/24,"Appointment of a panel of IT contractors for computer hardware peripherals for the City of Cape town","Madge Computers (Pty) Ltd t/a Madge Computers","Corporate Services - Information Systems & Technology","CORPORATE SERVICES ","Active Contract",2025-2026,2026-01-19,NULL,NULL,0,Approved,"Award: Highest Adjudication Points"
3390,140G/2023/24,"Appointment of a panel of IT contractors for computer hardware peripherals for the City of Cape Town","Madge Computers (Pty) Ltd t/a Madge Computers","Corporate Services - Information Systems & Technology","CORPORATE SERVICES ","Active Contract",2025-2026,2026-01-19,NULL,NULL,0,Approved,"Award: Highest Adjudication Points"
3391,218S/2024/25,"APPOINTMENT OF AN ACCREDITED SERVICE PROVIDER TO PROVIDE IN-HOUSE COMPETENCE (NON-ACCREDITED) AND ACCREDITED (CREDIT BEARING) ADMINISTRATION AND GENERIC SKILLS TRAINING FOR THE CITY OF CAPE TOWN EMPLOYEES.","Work Skills Resources CC
llearn Corporate Services (Pty) Ltd t/a iLeam","CORPORATE SERVICES - Human Resources ","CORPORATE SERVICES ",Appeals,2025-2026,2026-01-19,NULL,NULL,0,Approved,"Award: Highest Adjudication Points"
3392,242S/2023/24,"Appointment of a Panel of Service Providers for the Provision of SAP Services to the City of Cape Town. Project: Integration and Enhancement of PPM","SP Practice Consulting Services (Pty) Ltd t/a SPPRACSpecialised 
Project","Corporate Services - Information Systems & Technology","CORPORATE SERVICES ","Active Contract",2025-2026,2026-01-19,NULL,970071.00,0,Approved,"Award: Highest Adjudication Points"
3393,107Q/2018/19,"TENDER FOR CIVIL ENGINEERING WORKS WITHIN THE CITY OF CAPE TOWN.","Nejeni Construction and Project Management (Pty) Ltd","Human Settlements - Informal Settlements","HUMAN SETTLEMENTS ","Active Contract",2025-2026,2026-01-19,NULL,NULL,0,Approved,Expansion
3394,324S/2024/25,"SUPPLY, INSTALL AND MAINTAIN AN INFORMATION TECHNOLOGY SERVICE MANAGEMENT (ITSM) SOLUTION","Quintica SA (Pty) Ltd 
Columbus Technologies (Pty) Ltd","Corporate Services - Information Systems & Technology","CORPORATE SERVICES ","Report Ready",2025-2026,2026-01-19,NULL,NULL,0,Approved,"Preferred Bidder"
3395,068C/2019/20,"AMENDMENT OF CONTRACT NO. 68C/2019/20: PROVISION OF PROFESSIONAL SERVICES FOR THE DETAILED DESIGN AND CONSTRUCTION MONITORING OF THE GORDONS BAY SEWER PUMP STATION AND RISING MAIN","Zutari (Pty) Ltd","Water & Sanitation - Distribution Services","WATER & SANITATION ","Active Contract",2025-2026,2026-01-19,NULL,12135544.87,0,Approved,Amendment
3396,271Q/2022/23,"AMENDMENT OF CONTRACT NO. 271 Q/2022/23: CONSTRUCTION OF GORDON'S BAY SEWAGE PUMP STATION AND RISING MAIN","Asla Construction (Pty) Ltd.","Water & Sanitation - Distribution Services","WATER & SANITATION ","Active Contract",2025-2026,2026-01-19,NULL,16557459.55,0,Approved,Amendment
